TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
832,2006,4361.868081480084,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
814,2006,10180.042340355909,Hang Hau,22.3156,114.2644,0,False,Far (>2km),False,False,False
834,2006,9381.32756327521,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
832,2006,4407.891894643947,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
813,2006,11083.19138795772,Hang Hau,22.3156,114.2644,0,False,Far (>2km),False,False,False
243,2006,410.08427283673257,Whampoa,22.305852,114.188799,0,False,Very Close (<500m),True,True,True
229,2006,657.1321882815286,Mong Kok,22.321624,114.172537,0,False,Close (500-1000m),False,True,True
243,2006,325.6596088504892,Ho Man Tin,22.308953,114.181612,0,False,Very Close (<500m),True,True,True
225,2006,354.36628700877924,Austin,22.304236,114.166601,0,False,Very Close (<500m),True,True,True
225,2006,300.9843437514948,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
742,2006,15741.809512872998,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
294,2006,657.181079226815,Ngau Tau Kok,22.3154,114.2193,0,False,Close (500-1000m),False,True,True
742,2006,15782.021898187733,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
742,2006,15721.472029274117,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
244,2006,509.62082305919944,To Kwa Wan,22.3172,114.1876,0,False,Close (500-1000m),True,True,True
244,2006,462.34386712722267,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
653,2006,11272.520813404457,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
244,2006,490.67838045034205,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
244,2006,493.9516036529638,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
244,2006,473.0264004909449,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
267,2006,408.82132308170594,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
723,2006,480.5435255568519,Tai Wo,22.4511,114.1611,0,False,Very Close (<500m),True,True,True
243,2006,372.11764808684933,Whampoa,22.305852,114.188799,0,False,Very Close (<500m),True,True,True
294,2006,250.9335364386229,Ngau Tau Kok,22.3154,114.2193,0,False,Very Close (<500m),True,True,True
243,2006,326.3978373020301,Ho Man Tin,22.308953,114.181612,0,False,Very Close (<500m),True,True,True
242,2006,591.0719681812963,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
221,2006,525.9659985650155,Olympic,22.3178,114.1602,0,False,Close (500-1000m),True,True,True
832,2006,4220.430550886303,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
832,2006,4373.647755266234,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
814,2006,11690.46947302885,Hang Hau,22.3156,114.2644,0,False,Far (>2km),False,False,False
